reference_path,query_path,reference_count,query_count,fingerprint_type,distance_type,mean_pairwise,mean_pairwise_threshold,mean_pairwise_median_threshold,s_min,knn,weighted_knn,chamfer,sinkhorn,centroid,covered_fraction,MW2_GTM,RP_GTM,RP_GTM_normalized,wRP_GTM,wRP_GTM_normalized,computation_time
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN10412_1.npz,1780,9696,precomputed,tanimoto,0.9991654919824228,0.11097482977410889,0.9991654919824228,0.7546201625161302,0.8745529446033926,0.8634901529361042,1.2496346367330236,0.9489345911393009,0.9809650663185879,0.20898876404494382,1.8881363491793874,0.029485570890840654,8.830659146702801e-06,0.043820224719101124,1.3123757028781409e-05,49.803879261016846
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN10507_1.npz,1780,9412,precomputed,tanimoto,0.9952089368354156,0.06019145629427536,0.9952089368354156,0.6572746786397987,0.7855421043544273,0.7716982516863172,0.7978663129597899,0.8727376044717501,0.8989268745404767,0.3151685393258427,2.0578449770368636,0.07779171894604768,2.056893679165724e-05,0.11404494382022472,3.0154665208943606e-05,35.376697063446045
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN10558_1.npz,1780,9946,precomputed,tanimoto,0.9985573494268891,0.12499025764553519,0.9985573494268891,0.6594303347024916,0.8265153369446703,0.8098687044233575,1.072480478718456,0.9308236787673865,0.9575659480879595,0.32640449438202246,0.9166918682488818,0.03450439146800502,7.3491781614494185e-06,0.046067415730337076,9.812016129997247e-06,46.050416707992554
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN10571_1.npz,1780,10000,precomputed,tanimoto,0.9991679731304142,0.10312872357728291,0.9991679731304142,0.8457272734359871,0.8922889841782662,0.8872334923361133,1.5089801877986289,0.9524286267421858,0.9885888759790782,0.15,1.705933569291068,0.027603513174404015,1.0133448301910432e-05,0.04044943820224719,1.4849279809929217e-05,34.088449239730835
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN10726_1.npz,1780,9814,precomputed,tanimoto,0.9996336891975696,0.1375004025195796,0.9996336891975696,0.8551749943177672,0.9256569551267074,0.9169402434820765,1.5786170541398334,,0.984499801196035,0.13595505617977527,0.7245149408834016,0.015683814303638646,2.865146931611006e-06,0.019101123595505618,3.4894270360806755e-06,27.273304224014282
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN1111_1.npz,1780,9981,precomputed,tanimoto,0.9998760909921149,0.1215023830789945,0.9998760909921149,0.78051279319509,0.9537095170805945,0.9376281790641,1.6624524704319406,,0.9953828706220853,0.19550561797752808,1.9521159775891987,0.013801756587202008,2.9655686693601218e-06,0.017977528089887642,3.8628122238692825e-06,39.86350703239441
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN11303_1.npz,1780,10000,precomputed,tanimoto,0.9997386510549163,0.16200108760378829,0.9997386510549163,0.9706660696641125,0.9764406090626845,0.975853892551153,1.6488274810356272,,0.9938299324920364,0.024157303370786518,2.01262498150768,0.002509410288582183,7.333168581479202e-07,0.006741573033707865,1.970068098687278e-06,45.18937826156616
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN11510_1.npz,1780,9965,precomputed,tanimoto,0.9965034620210701,0.12909734885168167,0.9965034620210701,0.4627657497893039,0.6621771555084377,0.6418889535968781,0.5848030542729549,,0.9030034154494938,0.5134831460674157,1.0708089197498463,0.07904642409033877,1.5939992758689005e-05,0.10393258426966293,2.0958375533305693e-05,39.489800453186035
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN11789_1.npz,1780,6992,precomputed,tanimoto,0.9998275115407533,0.10967399847274593,0.9998275115407533,0.9861769529833325,0.9906633440108975,0.9904122663327115,1.7380111140651935,0.9931781272131988,0.9959935278203906,0.010674157303370787,3.4526330732116035,0.00439146800501882,1.335198542115786e-06,0.0050561797752808986,1.5373000228886891e-06,34.71880793571472
/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp_resp_chembl301/EN1286_1.npz,1780,9974,precomputed,tanimoto,0.9999892002059476,0.13112150315475923,0.9999892002059476,0.9780780811406266,0.994838047717435,0.9932325377191007,1.9583379113099646,,0.9996259415967615,0.014606741573033709,1.1212865326089816,0.002509410288582183,5.42340671835354e-07,0.0022471910112359553,4.856691184862665e-07,43.12668561935425
