reference_path,query_path,reference_count,query_count,fingerprint_type,distance_type,mean_pairwise,mean_pairwise_median_threshold,s_min,knn,weighted_knn,chamfer,sinkhorn,centroid,MW2_GTM,RP_GTM,wRP_GTM,computation_time
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN1669_1.npz,1780,9633,precomputed,euclidean,181.17911457221606,146.75110200800674,114.06404494382022,120.67508426966292,114.56679501061085,25067.565421298743,0.9556713376869435,34.67867156480337,,,,10.511086225509644
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN16700_1.npz,1780,9443,precomputed,euclidean,177.56796658127357,145.40730974230797,110.27865168539326,117.04171348314607,110.78547532564592,23663.900914416125,,33.52929931159206,,,,7.244467735290527
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN16737_1.npz,1780,8712,precomputed,euclidean,170.9359487365999,134.49126955419536,121.42977528089888,126.15716292134832,122.05266751709614,24915.53246226308,1.011109436867443,47.27206875030344,,,,9.679111003875732
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN17081_1.npz,1780,9998,precomputed,euclidean,179.55273818808706,139.4281634799668,109.49606741573034,117.6351404494382,109.93943577076287,22350.453808177364,0.9964249672494943,42.538848101356294,,,,12.062374591827393
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN17108_1.npz,1780,9999,precomputed,euclidean,224.9667617885384,177.24970722527644,141.5123595505618,149.913595505618,141.90627181722786,33680.02814551118,1.0079924640492108,93.5977609881792,,,,12.056351661682129
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN17372_1.npz,1780,9888,precomputed,euclidean,191.7318016844842,148.0381052925259,117.20955056179776,126.47081460674157,117.61062409788735,24431.30009113305,1.012864634102829,62.61364940598667,,,,10.383979558944702
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN17751_1.npz,1780,9591,precomputed,euclidean,185.7316181837139,143.7543882513971,113.37022471910112,121.36106741573035,113.8265363522611,22590.378728477892,0.9887076332211456,52.35830829552677,,,,20.734373807907104
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN17795_1.npz,1780,9196,precomputed,euclidean,200.70589374471558,147.23230076113722,112.20224719101124,120.16752808988765,112.64850902133932,21609.69464544917,1.0245696655204868,73.14987375787022,,,,31.398677587509155
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN18190_1.npz,1780,9976,precomputed,euclidean,178.10669280430335,137.48925888957731,112.90224719101124,120.78696629213484,113.37114491425504,22576.841140309778,1.0166178457262864,50.748683318745925,,,,10.572090864181519
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN18266_1.npz,1780,9947,precomputed,euclidean,189.75678517491016,148.3815591017539,120.06516853932584,128.07794943820224,120.48650974267662,25681.584786559775,1.0212530934380648,58.85045288901167,,,,15.419344425201416
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN18290_1.npz,1780,9905,precomputed,euclidean,258.6606946327187,216.48416172606179,180.44775280898875,188.12137640449438,180.92405293575928,57631.2923846769,1.0048275365376271,130.8182517856708,,,,11.180308818817139
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN18740_1.npz,1780,9846,precomputed,euclidean,212.02339100804068,176.71549151451546,150.84044943820226,158.8856179775281,151.2216589672356,39778.28660563692,1.013685590440324,76.39868575946397,,,,15.291750192642212
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN18889_1.npz,1780,9962,precomputed,euclidean,171.8042989201663,139.3492944605896,110.33258426966292,118.38910112359551,110.73368936693528,22754.234893268578,0.9735936633123514,36.32880897867358,,,,10.75251841545105
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN19015_1.npz,1780,8941,precomputed,euclidean,201.87762956660958,148.4395319361208,121.04325842696629,129.96280898876404,121.48935195615158,23874.744148657428,1.0422745500382724,80.604337526242,,,,11.849225997924805
